,death_month,agegroup,sex,covid19,diabetes_uc,diabetes_mc,c19plusdiabetes,c19plushypertensived,c19plusmcvd,c19plushypertensive_mcvd,c19pluschroniclowerresp,c19pluskidneydisease,c19pluschronicliver,c19plusobesity
0,1,18-29 years,Female (F),0,20,36,0,0,0,0,0,0,0,0
1,1,18-29 years,Male (M),0,44,65,0,0,0,0,0,0,0,0
2,1,30-39 years,Female (F),0,53,104,0,0,0,0,0,0,0,0
3,1,30-39 years,Male (M),0,79,161,0,0,0,0,0,0,0,0
4,2,18-29 years,Female (F),0,22,37,0,0,0,0,0,0,0,0
5,2,18-29 years,Male (M),0,29,49,0,0,0,0,0,0,0,0
6,2,30-39 years,Female (F),2,46,102,1,1,1,1,0,0,0,1
7,2,30-39 years,Male (M),0,89,171,0,0,0,0,0,0,0,0
8,3,18-29 years,Female (F),11,27,45,3,1,3,3,0,1,0,3
9,3,18-29 years,Male (M),35,35,52,6,1,12,12,2,2,0,5
10,3,30-39 years,Female (F),40,72,145,3,6,20,20,4,6,2,9
11,3,30-39 years,Male (M),123,99,188,20,16,45,45,4,12,2,26
12,4,18-29 years,Female (F),76,21,40,5,6,25,25,4,6,0,15
13,4,18-29 years,Male (M),146,42,77,17,9,47,47,11,13,0,31
14,4,30-39 years,Female (F),190,55,138,32,23,68,68,13,10,3,36
15,4,30-39 years,Male (M),487,96,254,73,53,162,162,22,37,11,89
16,5,18-29 years,Female (F),37,19,37,4,2,11,11,0,4,0,6
17,5,18-29 years,Male (M),86,34,60,9,5,25,25,2,4,3,16
18,5,30-39 years,Female (F),102,54,125,17,12,41,41,6,9,1,31
19,5,30-39 years,Male (M),250,103,215,33,24,71,71,9,21,8,45
20,6,18-29 years,Female (F),43,15,35,7,1,9,9,2,0,0,12
21,6,18-29 years,Male (M),58,34,55,4,3,14,14,7,4,2,13
22,6,30-39 years,Female (F),101,58,123,18,4,32,32,2,8,6,29
23,6,30-39 years,Male (M),184,83,199,32,25,66,66,5,17,4,40
24,7,18-29 years,Female (F),83,19,43,10,3,18,18,5,8,0,21
25,7,18-29 years,Male (M),137,34,76,23,12,42,42,8,9,2,48
26,7,30-39 years,Female (F),183,60,161,48,33,70,70,14,14,5,58
27,7,30-39 years,Male (M),358,101,226,42,34,120,120,13,40,13,97
28,8,18-29 years,Female (F),48,19,35,8,3,15,15,4,5,1,9
29,8,18-29 years,Male (M),80,21,42,10,10,24,24,5,13,2,21
30,8,30-39 years,Female (F),135,58,105,17,15,43,43,11,13,8,20
31,8,30-39 years,Male (M),222,78,198,35,25,86,86,7,26,7,48
32,9,18-29 years,Female (F),31,8,24,5,0,13,13,2,1,0,6
33,9,18-29 years,Male (M),41,12,24,6,5,19,19,0,2,0,10
34,9,30-39 years,Female (F),74,33,67,9,7,25,25,3,13,3,16
35,9,30-39 years,Male (M),116,46,107,14,4,40,40,2,17,4,15
